time,duration,type,title,judge_1,judge_2,judge_3
10:00,30 min,Networking,Guest Arrivals & VIP Welcome,,,
10:30,20 min,Program,Opening Remarks & Welcoming,,,
11:00,35 min,Pitch block 01,Startups Pitching: Part 1,Judge Name,Judge Name,Judge Name
11:35,10 min,Networking,Coffee Break,,,
11:45,40 min,Pitch block 02,Startups Pitching: Part 2,Judge Name,Judge Name,Judge Name
12:25,50 min,Networking,Networking & Judges Deliberation,,,
1:15,90 min,Program,MC Closing & Founders Awards,,,
1:15,90 min,Networking,Lunch & Networking,,,
